id,firstname,lastname,email,password,address,city,state,zipcode,country,role,gender,fitness,experience,dob,willing_teamLeader,about_me,last_seen,user_disabled,user_registered
1,Cassandra,Dixon,cjames@email.com,password1,2 Moneta Court,San Francisco,CA,94112,United States,2,female,3,20,02/10/1982,TRUE,,,FALSE,TRUE
2,Albert,Dixon,albert@email.com,password2,66 Merced Ave,San Francisco,CA,94127,United States,0,male,2,2,04/24/1982,FALSE,,,TRUE,TRUE
3,Crystal ,James,crystal@email.com,password3,42 Lily Street,Trenton,NJ,10068,United States,0,female,3,16,01/01/1983,TRUE,,,TRUE,TRUE
4,Isiah ,James,zay@email.com,password4,1008 2nd Street,New York,NY,10011,United States,0,male,2,4,03/28/1986,FALSE,,,TRUE,TRUE
5,Courtney,James,coconut@email.com,password5,400 Emerson Street,Palo Alto,CA,90061,United States,0,female,1,6,03/15/1960,TRUE,,,TRUE,TRUE
6,Missy,Jones,missy@email.com,password6,86 Riverside Ave,Menlo Park,CA,94885,United States,0,female,1,1,06/21/1973,FALSE,,,TRUE,TRUE
7,Amy,Lam,amylam@email.com,password7,600 Beckon Lane,Memphis,TN,31289,United States,0,female,2,2,07/15/1978,TRUE,,,TRUE,TRUE
8,Becca,Brugmann,becca@email.com,password8,206 W. 112th Street,Los Angeles,CA,93200,United States,0,female,1,17,09/10/1972,FALSE,,,TRUE,TRUE
9,Katherine,Fellows,katherine@email.com,password9,1010 Sutter Street,San Francisco,CA,94188,United States,0,female,1,2,10/12/1984,TRUE,,,TRUE,TRUE
10,Morgan,Freeman,morgan@email.com,password10,233 Haight Ave,San Francisco,CA,91123,United States,0,female,2,3,11/25/1965,FALSE,,,TRUE,TRUE
11,Kate,Odell,kate@email.com,password11,200 University Street,Palo Alto,CA,96332,United States,0,female,2,3,12/12/1969,TRUE,,,TRUE,TRUE
12,Bryan,Berry,bryan@email.com,password12,344 Junipero Court,Carson,NV,41885,United States,0,male,2,2,11/05/1977,FALSE,,,TRUE,TRUE
13,Gowri ,Grewal,gowri@email.com,password13,2 Moneta Court,San Francisco,CA,94112,United States,0,female,3,15,02/10/1982,TRUE,,,TRUE,TRUE
14,Bessie,Chu,bessie@email.com,password14,66 Merced Ave,San Francisco,CA,94127,United States,0,female,1,0,04/24/1982,FALSE,,,TRUE,TRUE
15,Joy,Ling,joy@email.com,password15,42 Lily Street,Trenton,NJ,10068,United States,0,female,1,0,01/01/1983,TRUE,,,TRUE,TRUE
16,Jessica,Mong,jessy@email.com,password16,1008 2nd Street,New York,NY,10011,United States,0,female,1,2,03/28/1986,FALSE,,,TRUE,TRUE
17,Becka,Star,becka@email.com,password17,400 Emerson Street,Palo Alto,CA,90061,United States,0,female,2,6,03/15/1960,TRUE,,,TRUE,TRUE
18,Nick,Audo,nick@email.com,password18,86 Riverside Ave,Menlo Park,CA,94885,United States,0,male,2,2,06/21/1973,FALSE,,,TRUE,TRUE
19,Liz,Howard,liz@email.com,password19,600 Beckon Lane,Memphis,TN,31289,United States,0,female,1,4,07/15/1978,TRUE,,,TRUE,TRUE
20,Amiee,Morgan,aimee@email.com,password20,206 W. 112th Street,Los Angeles,CA,93200,United States,0,female,2,6,09/10/1972,FALSE,,,TRUE,TRUE
21,Sean ,Paul,sean@email.com,password21,1010 Sutter Street,San Francisco,CA,94188,United States,0,male,3,13,10/12/1984,TRUE,,,TRUE,TRUE
22,Tristan,James,tristan@email.com,password22,233 Haight Ave,San Francisco,CA,91123,United States,0,male,3,12,11/25/1965,FALSE,,,TRUE,TRUE
23,Dylan,James,dylan@email.com,password23,200 University Street,Palo Alto,CA,96332,United States,0,male,3,9,12/12/1969,TRUE,,,TRUE,TRUE
24,Juan,Pavegeau ,juan@email.com,password24,344 Junipero Court,Carson,NV,41885,United States,0,male,2,8,11/05/1977,FALSE,,,TRUE,TRUE
25,Janet ,Sisson,janet@email.com,password25,2 Moneta Court,San Francisco,CA,94112,United States,0,female,1,6,02/10/1982,TRUE,,,TRUE,TRUE
26,Angel ,Sisson,angel@email.com,password26,66 Merced Ave,San Francisco,CA,94127,United States,0,male,1,5,04/24/1982,FALSE,,,TRUE,TRUE
27,Ryan,Jackson,ryan@email.com,password27,42 Lily Street,Trenton,NJ,10068,United States,0,male,1,2,01/01/1983,TRUE,,,TRUE,TRUE
28,Judy ,Torres,judy@email.com,password28,1008 2nd Street,New York,NY,10011,United States,0,female,2,3,03/28/1986,FALSE,,,TRUE,TRUE
29,Monica,Gonzalez,monica@email.com,password29,400 Emerson Street,Palo Alto,CA,90061,United States,0,female,2,4,03/15/1960,TRUE,,,TRUE,TRUE
30,Bonnie ,Oliva,bonnie@email.com,password30,86 Riverside Ave,Menlo Park,CA,94885,United States,0,female,2,6,06/21/1973,FALSE,,,TRUE,TRUE
31,admin,admin,admin123,admin,None,None,CA,0,United States,2,none,0,0,07/15/1978,FALSE,,,TRUE,TRUE
